2025-05-12 21:46:19,366 [INFO] 🚀 Запуск Scalper Bot в цикле
2025-05-12 21:46:21,876 [INFO] ✅ Подключение к OKX и загрузка рынков — OK!
2025-05-12 21:46:22,541 [INFO] 🎯 Итерация @ 2025-05-12T16:46:22.541048 — Signal: NOTHING, Price: 102933.50, Size: None
2025-05-12 21:46:22,542 [INFO]       Features: speed=-14.60, vol_spike=False, iceberg=False, ob_imbalance=None
2025-05-12 21:47:22,473 [INFO] 🎯 Итерация @ 2025-05-12T16:47:22.473120 — Signal: NOTHING, Price: 102996.80, Size: None
2025-05-12 21:47:22,473 [INFO]       Features: speed=16.80, vol_spike=False, iceberg=False, ob_imbalance=BID
2025-05-12 21:48:22,475 [INFO] 🎯 Итерация @ 2025-05-12T16:48:22.475262 — Signal: NOTHING, Price: 103023.90, Size: None
2025-05-12 21:48:22,475 [INFO]       Features: speed=-4.60, vol_spike=False, iceberg=False, ob_imbalance=None
2025-05-12 21:49:22,488 [INFO] 🎯 Итерация @ 2025-05-12T16:49:22.488367 — Signal: NOTHING, Price: 103019.90, Size: None
2025-05-12 21:49:22,489 [INFO]       Features: speed=24.60, vol_spike=False, iceberg=False, ob_imbalance=ASK
2025-05-12 21:50:22,488 [INFO] 🎯 Итерация @ 2025-05-12T16:50:22.488715 — Signal: NOTHING, Price: 103070.00, Size: None
2025-05-12 21:50:22,489 [INFO]       Features: speed=26.80, vol_spike=False, iceberg=False, ob_imbalance=BID
2025-05-12 21:51:22,505 [INFO] 🎯 Итерация @ 2025-05-12T16:51:22.505762 — Signal: NOTHING, Price: 102986.10, Size: None
2025-05-12 21:51:22,506 [INFO]       Features: speed=-32.00, vol_spike=False, iceberg=False, ob_imbalance=None
2025-05-12 21:52:22,477 [INFO] 🎯 Итерация @ 2025-05-12T16:52:22.477294 — Signal: NOTHING, Price: 102995.90, Size: None
2025-05-12 21:52:22,477 [INFO]       Features: speed=-9.90, vol_spike=False, iceberg=False, ob_imbalance=ASK
2025-05-12 21:53:22,496 [INFO] 🎯 Итерация @ 2025-05-12T16:53:22.496634 — Signal: NOTHING, Price: 102962.00, Size: None
2025-05-12 21:53:22,497 [INFO]       Features: speed=-9.30, vol_spike=False, iceberg=False, ob_imbalance=BID
2025-05-12 21:54:22,526 [INFO] 🎯 Итерация @ 2025-05-12T16:54:22.526792 — Signal: NOTHING, Price: 102931.80, Size: None
2025-05-12 21:54:22,526 [INFO]       Features: speed=-28.20, vol_spike=False, iceberg=False, ob_imbalance=BID
2025-05-12 21:55:22,510 [INFO] 🎯 Итерация @ 2025-05-12T16:55:22.510696 — Signal: NOTHING, Price: 102985.80, Size: None
2025-05-12 21:55:22,512 [INFO]       Features: speed=-0.60, vol_spike=False, iceberg=False, ob_imbalance=None
2025-05-12 21:56:22,755 [INFO] 🎯 Итерация @ 2025-05-12T16:56:22.755947 — Signal: NOTHING, Price: 102911.50, Size: None
2025-05-12 21:56:22,755 [INFO]       Features: speed=-28.30, vol_spike=False, iceberg=False, ob_imbalance=BID
2025-05-12 21:57:22,477 [INFO] 🎯 Итерация @ 2025-05-12T16:57:22.477904 — Signal: NOTHING, Price: 102864.50, Size: None
2025-05-12 21:57:22,479 [INFO]       Features: speed=-35.40, vol_spike=False, iceberg=False, ob_imbalance=None
2025-05-12 21:58:22,579 [INFO] 🎯 Итерация @ 2025-05-12T16:58:22.579600 — Signal: NOTHING, Price: 102839.90, Size: None
2025-05-12 21:58:22,581 [INFO]       Features: speed=-19.00, vol_spike=False, iceberg=False, ob_imbalance=None
2025-05-12 21:59:22,469 [INFO] 🎯 Итерация @ 2025-05-12T16:59:22.469735 — Signal: NOTHING, Price: 102845.80, Size: None
2025-05-12 21:59:22,471 [INFO]       Features: speed=15.90, vol_spike=False, iceberg=False, ob_imbalance=None
2025-05-12 22:00:22,488 [INFO] 🎯 Итерация @ 2025-05-12T17:00:22.488387 — Signal: NOTHING, Price: 102839.80, Size: None
2025-05-12 22:00:22,488 [INFO]       Features: speed=-6.30, vol_spike=False, iceberg=False, ob_imbalance=ASK
2025-05-12 22:01:10,972 [INFO] 🛑 Получен KeyboardInterrupt — завершаем работу бота
2025-05-12 22:01:10,973 [INFO] 🎉 Бот остановлен
2025-05-12 22:07:40,389 [INFO] 🚀 Запуск Scalper Bot в цикле
2025-05-12 22:07:43,166 [INFO] ✅ Подключение к OKX и загрузка рынков — OK!
2025-05-12 22:07:43,933 [ERROR] 💥 Итерация — FAILED: name 'size' is not defined
2025-05-12 22:08:44,210 [ERROR] 💥 Итерация — FAILED: name 'size' is not defined
2025-05-12 22:09:43,780 [ERROR] 💥 Итерация — FAILED: name 'size' is not defined
2025-05-12 22:10:43,842 [ERROR] 💥 Итерация — FAILED: name 'size' is not defined
2025-05-12 22:11:44,219 [ERROR] 💥 Итерация — FAILED: name 'size' is not defined
2025-05-12 22:12:43,939 [ERROR] 💥 Итерация — FAILED: name 'size' is not defined
2025-05-12 22:13:43,856 [ERROR] 💥 Итерация — FAILED: name 'size' is not defined
2025-05-12 22:14:43,931 [ERROR] 💥 Итерация — FAILED: name 'size' is not defined
2025-05-12 22:15:43,775 [ERROR] 💥 Итерация — FAILED: name 'size' is not defined
2025-05-12 22:16:43,762 [ERROR] 💥 Итерация — FAILED: name 'size' is not defined
2025-05-12 22:16:54,880 [INFO] 🛑 Получен KeyboardInterrupt — завершаем работу бота
2025-05-12 22:16:54,881 [INFO] 🎉 Бот остановлен
2025-05-12 22:17:38,697 [INFO] 🚀 Запуск Scalper Bot в цикле
2025-05-12 22:17:40,911 [INFO] ✅ Подключение к OKX и загрузка рынков — OK!
2025-05-12 22:17:41,725 [ERROR] 💥 Итерация — FAILED: unsupported format string passed to NoneType.__format__
2025-05-12 22:18:41,664 [ERROR] 💥 Итерация — FAILED: unsupported format string passed to NoneType.__format__
2025-05-12 22:19:41,586 [ERROR] 💥 Итерация — FAILED: unsupported format string passed to NoneType.__format__
2025-05-12 22:20:41,529 [ERROR] 💥 Итерация — FAILED: unsupported format string passed to NoneType.__format__
2025-05-12 22:21:41,593 [ERROR] 💥 Итерация — FAILED: unsupported format string passed to NoneType.__format__
2025-05-12 22:22:41,688 [ERROR] 💥 Итерация — FAILED: unsupported format string passed to NoneType.__format__
2025-05-12 22:23:41,602 [ERROR] 💥 Итерация — FAILED: unsupported format string passed to NoneType.__format__
2025-05-12 22:24:19,846 [INFO] 🛑 Получен KeyboardInterrupt — завершаем работу бота
2025-05-12 22:24:19,846 [INFO] 🎉 Бот остановлен
2025-05-12 22:24:25,057 [INFO] 🚀 Starting Scalper Bot (loop mode)
2025-05-12 22:24:27,832 [INFO] ✅ Connect to OKX & load markets — OK!
2025-05-12 22:24:28,591 [INFO] 🎯 Iteration @ 2025-05-12T17:24:28.591333 — Signal=NOTHING, Price=102782.40, Size=—, SL=—, TP=—
2025-05-12 22:25:28,419 [INFO] 🎯 Iteration @ 2025-05-12T17:25:28.419976 — Signal=NOTHING, Price=102826.70, Size=—, SL=—, TP=—
2025-05-12 22:26:28,471 [INFO] 🎯 Iteration @ 2025-05-12T17:26:28.471231 — Signal=NOTHING, Price=102857.60, Size=—, SL=—, TP=—
2025-05-12 22:27:29,036 [INFO] 🎯 Iteration @ 2025-05-12T17:27:29.036687 — Signal=NOTHING, Price=102880.20, Size=—, SL=—, TP=—
2025-05-12 22:28:28,579 [INFO] 🎯 Iteration @ 2025-05-12T17:28:28.579498 — Signal=NOTHING, Price=102910.40, Size=—, SL=—, TP=—
2025-05-12 22:29:28,470 [INFO] 🎯 Iteration @ 2025-05-12T17:29:28.470204 — Signal=NOTHING, Price=102922.10, Size=—, SL=—, TP=—
2025-05-12 22:30:28,421 [INFO] 🎯 Iteration @ 2025-05-12T17:30:28.420700 — Signal=NOTHING, Price=102930.90, Size=—, SL=—, TP=—
2025-05-12 22:31:28,405 [INFO] 🎯 Iteration @ 2025-05-12T17:31:28.405060 — Signal=NOTHING, Price=102946.50, Size=—, SL=—, TP=—
2025-05-12 22:32:28,440 [INFO] 🎯 Iteration @ 2025-05-12T17:32:28.440069 — Signal=NOTHING, Price=102979.50, Size=—, SL=—, TP=—
2025-05-12 22:33:28,507 [INFO] 🎯 Iteration @ 2025-05-12T17:33:28.507594 — Signal=NOTHING, Price=102914.00, Size=—, SL=—, TP=—
2025-05-12 22:34:28,431 [INFO] 🎯 Iteration @ 2025-05-12T17:34:28.431387 — Signal=NOTHING, Price=102983.80, Size=—, SL=—, TP=—
2025-05-12 22:35:28,564 [INFO] 🎯 Iteration @ 2025-05-12T17:35:28.564210 — Signal=NOTHING, Price=102924.90, Size=—, SL=—, TP=—
2025-05-12 22:36:28,431 [INFO] 🎯 Iteration @ 2025-05-12T17:36:28.431210 — Signal=NOTHING, Price=102892.10, Size=—, SL=—, TP=—
2025-05-12 22:37:28,436 [INFO] 🎯 Iteration @ 2025-05-12T17:37:28.436044 — Signal=NOTHING, Price=102867.70, Size=—, SL=—, TP=—
2025-05-12 22:38:28,482 [INFO] 🎯 Iteration @ 2025-05-12T17:38:28.482524 — Signal=NOTHING, Price=102910.00, Size=—, SL=—, TP=—
2025-05-12 22:39:28,520 [INFO] 🎯 Iteration @ 2025-05-12T17:39:28.520035 — Signal=NOTHING, Price=102900.10, Size=—, SL=—, TP=—
2025-05-12 22:40:28,473 [INFO] 🎯 Iteration @ 2025-05-12T17:40:28.472678 — Signal=NOTHING, Price=102839.80, Size=—, SL=—, TP=—
2025-05-12 22:41:28,471 [INFO] 🎯 Iteration @ 2025-05-12T17:41:28.471848 — Signal=NOTHING, Price=102821.50, Size=—, SL=—, TP=—
2025-05-12 22:42:28,440 [INFO] 🎯 Iteration @ 2025-05-12T17:42:28.440581 — Signal=NOTHING, Price=102779.30, Size=—, SL=—, TP=—
2025-05-12 22:43:28,486 [INFO] 🎯 Iteration @ 2025-05-12T17:43:28.486784 — Signal=NOTHING, Price=102820.80, Size=—, SL=—, TP=—
2025-05-12 22:44:28,739 [INFO] 🎯 Iteration @ 2025-05-12T17:44:28.739042 — Signal=NOTHING, Price=102801.30, Size=—, SL=—, TP=—
2025-05-12 22:45:28,454 [INFO] 🎯 Iteration @ 2025-05-12T17:45:28.453613 — Signal=NOTHING, Price=102864.90, Size=—, SL=—, TP=—
2025-05-12 22:46:28,511 [INFO] 🎯 Iteration @ 2025-05-12T17:46:28.511887 — Signal=NOTHING, Price=102700.10, Size=—, SL=—, TP=—
2025-05-12 22:47:28,558 [INFO] 🎯 Iteration @ 2025-05-12T17:47:28.558155 — Signal=NOTHING, Price=102730.80, Size=—, SL=—, TP=—
2025-05-12 22:48:28,411 [INFO] 🎯 Iteration @ 2025-05-12T17:48:28.411238 — Signal=NOTHING, Price=102681.80, Size=—, SL=—, TP=—
2025-05-12 22:49:28,493 [INFO] 🎯 Iteration @ 2025-05-12T17:49:28.493036 — Signal=NOTHING, Price=102574.80, Size=—, SL=—, TP=—
2025-05-12 22:50:28,478 [INFO] 🎯 Iteration @ 2025-05-12T17:50:28.478748 — Signal=NOTHING, Price=102598.20, Size=—, SL=—, TP=—
2025-05-12 22:51:28,472 [INFO] 🎯 Iteration @ 2025-05-12T17:51:28.472300 — Signal=NOTHING, Price=102635.80, Size=—, SL=—, TP=—
2025-05-12 22:52:28,496 [INFO] 🎯 Iteration @ 2025-05-12T17:52:28.496605 — Signal=NOTHING, Price=102685.50, Size=—, SL=—, TP=—
2025-05-12 22:53:28,442 [INFO] 🎯 Iteration @ 2025-05-12T17:53:28.442947 — Signal=NOTHING, Price=102651.80, Size=—, SL=—, TP=—
2025-05-12 22:54:28,450 [INFO] 🎯 Iteration @ 2025-05-12T17:54:28.450836 — Signal=NOTHING, Price=102660.70, Size=—, SL=—, TP=—
2025-05-12 22:55:28,498 [INFO] 🎯 Iteration @ 2025-05-12T17:55:28.498759 — Signal=NOTHING, Price=102686.80, Size=—, SL=—, TP=—
2025-05-12 22:56:28,427 [INFO] 🎯 Iteration @ 2025-05-12T17:56:28.427127 — Signal=NOTHING, Price=102720.00, Size=—, SL=—, TP=—
2025-05-12 22:57:28,439 [INFO] 🎯 Iteration @ 2025-05-12T17:57:28.439193 — Signal=NOTHING, Price=102558.10, Size=—, SL=—, TP=—
2025-05-12 22:58:28,513 [INFO] 🎯 Iteration @ 2025-05-12T17:58:28.512280 — Signal=NOTHING, Price=102585.90, Size=—, SL=—, TP=—
2025-05-12 22:59:28,447 [INFO] 🎯 Iteration @ 2025-05-12T17:59:28.447683 — Signal=NOTHING, Price=102559.60, Size=—, SL=—, TP=—
2025-05-12 23:00:28,444 [INFO] 🎯 Iteration @ 2025-05-12T18:00:28.444336 — Signal=NOTHING, Price=102561.20, Size=—, SL=—, TP=—
2025-05-12 23:01:28,566 [INFO] 🎯 Iteration @ 2025-05-12T18:01:28.566802 — Signal=NOTHING, Price=102606.60, Size=—, SL=—, TP=—
2025-05-12 23:02:28,578 [INFO] 🎯 Iteration @ 2025-05-12T18:02:28.578859 — Signal=NOTHING, Price=102571.70, Size=—, SL=—, TP=—
2025-05-12 23:03:28,517 [INFO] 🎯 Iteration @ 2025-05-12T18:03:28.517911 — Signal=NOTHING, Price=102642.00, Size=—, SL=—, TP=—
2025-05-12 23:04:28,612 [INFO] 🎯 Iteration @ 2025-05-12T18:04:28.612257 — Signal=NOTHING, Price=102592.70, Size=—, SL=—, TP=—
2025-05-12 23:05:28,486 [INFO] 🎯 Iteration @ 2025-05-12T18:05:28.486674 — Signal=NOTHING, Price=102549.60, Size=—, SL=—, TP=—
